fecha,monterrey,guadalupe,apodaca,sanNicolas,escobedo,juarez,santaCatarina,garcia,cadereyta,sanPedro,pesqueria,montemorelos,santiago,salinasVictoria,linares,zuazua,elCarmen,sabinasHidalgo,allende,cienegaDeF,galeana,drArroyo,generalTeran,generalBravo,china,aramberri,villaaldama,hidalgo,marin,hualahuises,cerralvo,losRamones,lampazos,anahuac,abasolo,mierYnoriega,drCoss,iturbide,losHerreras,paras,mina,higueras,bustamante,agualeguas,drGonzales,gralZaragoza,gralTreviño,vallecillo,losAldamas,mOcampo,rayones,otrosEstados
04/11,56,25,7,6,10,3,5,7,6,55,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
04/12,69,31,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04/13,60,26,8,7,11,3,5,9,8,57,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
04/14,61,29,8,8,12,3,5,9,8,59,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
04/15,69,29,10,9,13,4,5,10,8,59,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
04/16,69,31,13,10,16,4,6,11,8,59,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
04/17,71,31,14,10,17,4,6,11,9,59,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
04/18,72,33,16,11,19,5,7,11,9,59,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
04/19,73,35,17,11,20,5,7,11,9,59,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
04/20,73,35,17,11,20,5,7,11,9,59,1,0,0,2,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
04/21,80,37,21,11,21,5,7,12,9,59,1,0,0,3,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
04/22,89,41,23,16,23,8,9,12,9,59,1,0,0,3,2,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
04/23,158,69,39,19,25,24,17,15,12,59,1,0,0,3,2,0,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
04/24,168,75,46,24,32,26,17,15,,59,1,0,0,3,2,1,7,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
04/25,195,80,54,32,40,27,19,16,12,61,1,0,0,4,2,2,8,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
